PX1,YYYYMM
3.0,197802
5.0,197802
6.0,197802
5.0,197802
0.0,197802
0.0,197802
3.0,197802
13.0,197802
7.0,197802
0.0,197802
5.0,197802
10.0,197802
20.0,197802
0.0,197802
10.0,197802
50.0,197802
20.0,197802
30.0,197802
4.0,197802
15.0,197802
5.0,197802
20.0,197802
7.0,197802
1.0,197802
13.0,197802
13.0,197802
0.0,197802
10.0,197802
7.0,197802
10.0,197802
10.0,197802
3.0,197802
10.0,197802
6.0,197802
10.0,197802
5.0,197802
5.0,197802
7.0,197802
6.0,197802
10.0,197802
0.0,197802
3.0,197802
10.0,197802
2.0,197802
10.0,197802
10.0,197802
11.0,197802
0.0,197802
30.0,197802
11.0,197802
0.0,197802
7.0,197802
33.0,197802
5.0,197802
11.0,197802
0.0,197802
27.0,197802
5.0,197802
35.0,197802
0.0,197802
5.0,197802
15.0,197802
5.0,197802
7.0,197802
10.0,197802
5.0,197802
7.0,197802
15.0,197802
3.0,197802
5.0,197802
9.0,197802
7.0,197802
3.0,197802
0.0,197802
15.0,197802
5.0,197802
5.0,197802
10.0,197802
8.0,197802
7.0,197802
5.0,197802
3.0,197802
10.0,197802
5.0,197802
5.0,197802
20.0,197802
10.0,197802
0.0,197802
0.0,197802
7.0,197802
13.0,197802
0.0,197802
0.0,197802
5.0,197802
5.0,197802
6.0,197802
3.0,197802
