start_end_date,const_std_error,x1_std_error,x2_std_error,const_peak,x1_peak,x2_peak
199906-201905,0.12,0.03,0.04,0,0,0
199907-201906,0.12,0.03,0.04,0,0,0
199908-201907,0.12,0.03,0.04,0,0,0
199909-201908,0.12,0.03,0.04,0,0,0
199910-201909,0.12,0.03,0.04,0,0,0
199911-201910,0.12,0.03,0.04,0,0,0
199912-201911,0.12,0.03,0.04,0,0,0
200001-201912,0.12,0.03,0.04,0,0,0
200002-202001,0.12,0.03,0.04,0,0,0
200003-202002,0.12,0.03,0.04,0,0,0
200004-202003,0.12,0.03,0.04,0,0,0
200005-202004,0.12,0.03,0.04,0,0,0
200006-202005,0.12,0.03,0.04,0,0,0
200007-202006,0.12,0.03,0.04,0,0,0
200008-202007,0.12,0.03,0.04,0,0,0
200009-202008,0.12,0.03,0.04,0,0,0
200010-202009,0.12,0.03,0.04,0,0,0
200011-202010,0.12,0.03,0.04,0,0,0
200012-202011,0.12,0.03,0.04,0,0,0
200101-202012,0.12,0.03,0.04,0,0,0
200102-202101,0.12,0.03,0.04,0,0,0
200103-202102,0.12,0.03,0.04,0,0,0
200104-202103,0.12,0.03,0.04,0,0,0
200105-202104,0.12,0.03,0.04,0,0,0
200106-202105,0.12,0.03,0.04,0,0,0
200107-202106,0.12,0.03,0.04,0,0,0
200108-202107,0.12,0.03,0.04,0,0,0
200109-202108,0.12,0.03,0.04,0,0,0
200110-202109,0.11,0.03,0.04,0,0,0
200111-202110,0.11,0.03,0.04,0,0,0
200112-202111,0.12,0.03,0.04,0,0,0
200201-202112,0.12,0.03,0.04,0,0,0
200202-202201,0.12,0.03,0.04,0,0,0
200203-202202,0.12,0.03,0.04,0,0,0
200204-202203,0.12,0.03,0.04,0,0,0
200205-202204,0.12,0.03,0.04,0,0,0
200206-202205,0.12,0.03,0.04,0,0,0
200207-202206,0.12,0.03,0.04,0,0,0
200208-202207,0.12,0.03,0.04,0,0,0
200209-202208,0.12,0.03,0.04,0,0,0
200210-202209,0.12,0.03,0.04,0,0,0
200211-202210,0.12,0.03,0.04,0,0,0
200212-202211,0.12,0.03,0.04,0,0,0
200301-202212,0.12,0.03,0.04,0,0,0
200302-202301,0.12,0.03,0.04,0,0,0
200303-202302,0.12,0.03,0.04,0,0,0
200304-202303,0.12,0.03,0.04,0,0,0
200305-202304,0.12,0.03,0.04,0,0,0
