start_end_date,const_std_error,x1_std_error,x2_std_error
199906-201905,0.124,0.026,0.041
199907-201906,0.124,0.026,0.041
199908-201907,0.124,0.026,0.041
199909-201908,0.124,0.026,0.041
199910-201909,0.125,0.026,0.041
199911-201910,0.124,0.026,0.041
199912-201911,0.124,0.026,0.041
200001-201912,0.124,0.026,0.041
200002-202001,0.124,0.026,0.041
200003-202002,0.123,0.026,0.041
200004-202003,0.123,0.026,0.041
200005-202004,0.123,0.026,0.041
200006-202005,0.123,0.026,0.041
200007-202006,0.123,0.026,0.041
200008-202007,0.123,0.026,0.041
200009-202008,0.123,0.026,0.041
200010-202009,0.122,0.026,0.041
200011-202010,0.122,0.026,0.041
200012-202011,0.122,0.026,0.041
200101-202012,0.122,0.026,0.041
200102-202101,0.122,0.026,0.041
200103-202102,0.122,0.026,0.041
200104-202103,0.122,0.026,0.041
200105-202104,0.124,0.027,0.042
200106-202105,0.124,0.027,0.041
200107-202106,0.121,0.027,0.041
200108-202107,0.12,0.027,0.041
200109-202108,0.119,0.027,0.041
200110-202109,0.114,0.026,0.039
200111-202110,0.114,0.026,0.039
200112-202111,0.116,0.026,0.04
200201-202112,0.117,0.026,0.041
200202-202201,0.117,0.025,0.041
200203-202202,0.121,0.026,0.042
200204-202203,0.12,0.026,0.042
200205-202204,0.118,0.026,0.042
200206-202205,0.119,0.026,0.042
200207-202206,0.116,0.026,0.042
200208-202207,0.119,0.027,0.043
200209-202208,0.12,0.027,0.043
200210-202209,0.121,0.027,0.044
200211-202210,0.121,0.027,0.044
200212-202211,0.121,0.027,0.044
200301-202212,0.122,0.027,0.044
200302-202301,0.123,0.027,0.045
200303-202302,0.124,0.027,0.045
200304-202303,0.123,0.027,0.045
200305-202304,0.123,0.027,0.045
