year,month,PX1,YYYYMM
1992,10,3.3638297872340424,199210
1992,11,3.853249475890985,199211
1992,12,2.991614255765199,199212
1993,1,3.168421052631579,199301
1993,2,4.174273858921162,199302
1993,3,4.873469387755102,199303
1993,4,3.601731601731602,199304
1993,5,4.09433962264151,199305
1993,6,4.603004291845494,199306
1993,7,3.972457627118644,199307
1993,8,4.417536534446764,199308
1993,9,4.251599147121535,199309
1993,10,3.7542372881355934,199310
1993,11,3.4673684210526314,199311
1993,12,3.3382663847780125,199312
1994,1,3.273706896551724,199401
1994,2,3.475583864118896,199402
1994,3,4.06553911205074,199403
1994,4,4.260504201680672,199404
1994,5,3.6702819956616053,199405
1994,6,3.626865671641791,199406
1994,7,3.9517102615694166,199407
1994,8,4.411764705882353,199408
1994,9,4.650627615062762,199409
1994,10,3.685774946921444,199410
1994,11,4.39647577092511,199411
1994,12,3.7127659574468086,199412
1995,1,3.6610169491525424,199501
1995,2,3.8271334792122538,199502
1995,3,4.174097664543525,199503
1995,4,4.110874200426439,199504
1995,5,4.29979035639413,199505
1995,6,3.6739130434782608,199506
1995,7,3.7373949579831933,199507
1995,8,3.5735607675906182,199508
1995,9,3.761388286334056,199509
1995,10,3.503225806451613,199510
1995,11,3.4070021881838075,199511
1995,12,3.1051502145922747,199512
1996,1,3.7369565217391303,199601
1996,2,3.5652173913043477,199602
1996,3,3.8405172413793105,199603
1996,4,4.469162995594714,199604
1996,5,4.91991341991342,199605
1996,6,3.97008547008547,199606
1996,7,3.9700214132762315,199607
1996,8,4.027659574468085,199608
1996,9,4.20042643923241,199609
1996,10,4.125813449023862,199610
1996,11,3.7978260869565217,199611
1996,12,3.7425531914893617,199612
1997,1,4.051282051282051,199701
1997,2,3.5824175824175826,199702
1997,3,3.405982905982906,199703
1997,4,3.524838012958963,199704
1997,5,3.832618025751073,199705
1997,6,3.514161220043573,199706
1997,7,3.1595505617977526,199707
1997,8,3.1886363636363635,199708
1997,9,3.435164835164835,199709
1997,10,3.1538461538461537,199710
1997,11,3.2759381898454745,199711
1997,12,3.2246696035242293,199712
1998,1,2.7911111111111113,199801
1998,2,2.446078431372549,199802
1998,3,2.7069767441860466,199803
1998,4,2.5833333333333335,199804
1998,5,3.038812785388128,199805
1998,6,3.1085450346420322,199806
1998,7,2.824200913242009,199807
1998,8,2.647727272727273,199808
1998,9,2.5353075170842825,199809
1998,10,2.543577981651376,199810
1998,11,2.533333333333333,199811
1998,12,2.7309417040358746,199812
1999,1,2.7289293849658316,199901
1999,2,2.7471783295711063,199902
1999,3,2.8122171945701355,199903
1999,4,3.1912087912087914,199904
1999,5,2.997752808988764,199905
1999,6,3.0022371364653244,199906
1999,7,2.834101382488479,199907
1999,8,3.0294117647058822,199908
1999,9,3.2437357630979498,199909
1999,10,3.396788990825688,199910
1999,11,3.0111358574610243,199911
1999,12,3.4503311258278146,199912
2000,1,3.3133333333333335,200001
2000,2,3.387527839643653,200002
2000,3,3.80045871559633,200003
2000,4,3.4748858447488584,200004
2000,5,3.293986636971047,200005
2000,6,3.462068965517241,200006
2000,7,3.6244343891402715,200007
2000,8,3.482608695652174,200008
2000,9,3.787671232876712,200009
2000,10,4.133630289532294,200010
2000,11,3.7324263038548753,200011
2000,12,3.2831460674157302,200012
2001,1,3.7852193995381063,200101
2001,2,3.1023255813953488,200102
2001,3,3.120728929384966,200103
2001,4,3.595936794582393,200104
2001,5,3.8375870069605567,200105
2001,6,3.8886310904872388,200106
2001,7,2.8807339449541285,200107
2001,8,2.9840546697038723,200108
2001,9,3.1261682242990654,200109
2001,10,1.4335664335664335,200110
2001,11,0.7302325581395349,200111
2001,12,1.7465116279069768,200112
2002,1,1.8855140186915889,200201
2002,2,2.2222222222222223,200202
2002,3,2.8369304556354917,200203
2002,4,2.9691943127962084,200204
2002,5,2.946135831381733,200205
