YYYYMM,FPCPITOTLZGUSA,PX1
198710,4.53,4.13
198810,4.25,5.07
198910,4.49,4.51
199010,6.29,5.91
199110,2.92,4.08
199210,3.2,3.36
199310,2.75,3.75
199410,2.61,3.69
199510,2.81,3.5
199610,2.99,4.13
199710,2.08,3.15
199810,1.49,2.54
199910,2.56,3.4
200010,3.45,4.13
200110,2.13,1.43
200210,2.03,2.79
200310,2.04,3.02
200410,3.19,3.49
200510,4.35,5.54
200610,1.31,3.48
200710,3.54,3.58
200810,3.66,4.1
200910,-0.18,3.0
201010,1.17,3.28
201110,3.53,3.98
201210,2.16,4.17
201310,0.96,3.56
201410,1.66,3.36
201510,0.17,3.3
201610,1.64,2.98
201710,2.04,2.92
201810,2.52,3.53
201910,1.76,2.9
202010,1.18,2.82
202110,6.22,6.23
202210,7.75,6.99
197811,8.89,8.12
197911,12.61,11.32
198011,12.65,8.11
198111,9.59,7.1
198211,4.59,4.89
198311,3.27,5.04
198411,4.05,4.87
198511,3.51,4.34
198611,1.28,3.73
198711,4.53,3.92
198811,4.25,5.3
198911,4.66,4.76
199011,6.27,5.3
199111,2.99,3.88
199211,3.05,3.85
199311,2.68,3.47
199411,2.67,4.4
199511,2.61,3.41
199611,3.26,3.8
199711,1.83,3.28
199811,1.55,2.53
199911,2.62,3.01
200011,3.45,3.73
200111,1.9,0.73
200211,2.2,2.47
200311,1.77,3.02
200411,3.52,3.26
200511,3.46,4.27
200611,1.97,3.33
200711,4.31,4.39
200811,1.07,2.72
200911,1.84,2.96
201011,1.14,3.42
201111,3.39,3.94
201211,1.76,3.78
201311,1.24,3.66
201411,1.32,2.97
201511,0.5,3.2
201611,1.69,2.95
201711,2.2,2.9
201811,2.18,3.21
201911,2.05,2.97
202011,1.17,2.96
202111,6.81,6.75
202211,7.11,6.85
197812,9.02,8.24
197912,13.29,10.59
198012,12.52,9.92
198112,8.92,5.59
198212,3.83,5.13
198312,3.79,4.79
198412,3.95,4.66
198512,3.8,5.17
198612,1.1,4.0
198712,4.43,3.5
198812,4.42,4.95
198912,4.65,4.27
199012,6.11,4.71
199112,3.06,3.17
199212,2.9,2.99
199312,2.75,3.34
199412,2.67,3.71
199512,2.54,3.11
199612,3.32,3.74
199712,1.7,3.22
199812,1.61,2.73
199912,2.68,3.45
200012,3.39,3.28
200112,1.55,1.75
200212,2.38,2.41
200312,1.88,2.73
200412,3.26,3.3
200512,3.42,4.01
200612,2.54,3.4
200712,4.08,4.34
200812,0.09,1.15
200912,2.72,2.89
201012,1.5,3.77
201112,2.96,3.59
201212,1.74,3.83
201312,1.5,3.71
201412,0.76,2.95
201512,0.73,2.84
201612,2.07,2.73
201712,2.11,3.01
201812,1.91,3.17
201912,2.29,2.7
202012,1.36,3.1
202112,7.04,6.26
202212,6.45,6.41
