YYYYMM,PX1
198812,4.951271186440678
198901,4.895299145299146
198902,4.614893617021276
198903,5.082278481012659
198904,4.928421052631579
198905,5.6976744186046515
198906,4.906054279749478
198907,4.787368421052632
198908,4.3283582089552235
198909,4.563291139240507
198910,4.505353319057816
198911,4.761802575107296
198912,4.270212765957447
199001,4.920086393088553
199002,4.919753086419753
199003,4.665245202558635
199004,4.419624217118998
199005,4.3655462184873945
199006,4.587866108786611
199007,4.485169491525424
199008,5.624217118997913
199009,5.685534591194968
199010,5.912951167728238
199011,5.304255319148936
199012,4.7092050209205025
199101,4.636
199102,4.153209109730849
199103,4.074844074844075
199104,4.245833333333334
199105,4.326359832635983
199106,4.062893081761007
199107,3.685774946921444
199108,3.826923076923077
199109,3.462025316455696
199110,4.082802547770701
199111,3.8823529411764706
199112,3.1711899791231732
199201,2.7920997920997923
199202,2.995798319327731
199203,2.8263598326359833
199204,3.349036402569593
199205,2.7353579175704987
199206,3.643162393162393
199207,3.6224066390041494
199208,3.71218487394958
199209,3.5770833333333334
199210,3.3638297872340424
199211,3.853249475890985
199212,2.991614255765199
199301,3.168421052631579
199302,4.174273858921162
199303,4.873469387755102
199304,3.601731601731602
199305,4.09433962264151
199306,4.603004291845494
199307,3.972457627118644
199308,4.417536534446764
199309,4.251599147121535
199310,3.7542372881355934
199311,3.4673684210526314
199312,3.3382663847780125
199401,3.273706896551724
199402,3.475583864118896
199403,4.06553911205074
199404,4.260504201680672
199405,3.6702819956616053
199406,3.626865671641791
199407,3.9517102615694166
199408,4.411764705882353
199409,4.650627615062762
199410,3.685774946921444
199411,4.39647577092511
199412,3.7127659574468086
199501,3.6610169491525424
199502,3.8271334792122538
199503,4.174097664543525
199504,4.110874200426439
199505,4.29979035639413
199506,3.6739130434782608
199507,3.7373949579831933
199508,3.5735607675906182
199509,3.761388286334056
199510,3.503225806451613
199511,3.4070021881838075
199512,3.1051502145922747
199601,3.7369565217391303
199602,3.5652173913043477
199603,3.8405172413793105
199604,4.469162995594714
199605,4.91991341991342
199606,3.97008547008547
199607,3.9700214132762315
199608,4.027659574468085
199609,4.20042643923241
199610,4.125813449023862
199611,3.7978260869565217
199612,3.7425531914893617
199701,4.051282051282051
199702,3.5824175824175826
199703,3.405982905982906
199704,3.524838012958963
199705,3.832618025751073
199706,3.514161220043573
199707,3.1595505617977526
199708,3.1886363636363635
199709,3.435164835164835
199710,3.1538461538461537
199711,3.2759381898454745
199712,3.2246696035242293
199801,2.7911111111111113
199802,2.446078431372549
199803,2.7069767441860466
199804,2.5833333333333335
199805,3.038812785388128
199806,3.1085450346420322
199807,2.824200913242009
199808,2.647727272727273
199809,2.5353075170842825
199810,2.543577981651376
199811,2.533333333333333
199812,2.7309417040358746
199901,2.7289293849658316
199902,2.7471783295711063
199903,2.8122171945701355
199904,3.1912087912087914
199905,2.997752808988764
199906,3.0022371364653244
199907,2.834101382488479
199908,3.0294117647058822
199909,3.2437357630979498
199910,3.396788990825688
199911,3.0111358574610243
199912,3.4503311258278146
200001,3.3133333333333335
200002,3.387527839643653
200003,3.80045871559633
200004,3.4748858447488584
200005,3.293986636971047
200006,3.462068965517241
200007,3.6244343891402715
200008,3.482608695652174
200009,3.787671232876712
200010,4.133630289532294
200011,3.7324263038548753
200012,3.2831460674157302
200101,3.7852193995381063
200102,3.1023255813953488
200103,3.120728929384966
200104,3.595936794582393
200105,3.8375870069605567
200106,3.8886310904872388
200107,2.8807339449541285
200108,2.9840546697038723
200109,3.1261682242990654
200110,1.4335664335664335
200111,0.7302325581395349
200112,1.7465116279069768
200201,1.8855140186915889
200202,2.2222222222222223
200203,2.8369304556354917
200204,2.9691943127962084
200205,2.946135831381733
200206,2.838862559241706
200207,2.5902777777777777
200208,2.4941995359628772
200209,2.875
200210,2.792452830188679
200211,2.4708624708624707
200212,2.4123222748815167
200301,2.4123006833712983
200302,3.140845070422535
200303,3.645933014354067
200304,2.6554054054054053
200305,2.55632183908046
