year,month,px1,YYYYMM
1975,05,53.2,197505
1976,05,56.5,197605
1977,05,60.3,197705
1978,05,64.5,197805
1979,05,71.5,197905
1980,05,81.8,198005
1981,05,89.8,198105
1982,05,95.8,198205
1983,05,99.2,198305
1984,05,103.4,198405
1985,05,107.3,198505
1986,05,108.9,198605
1987,05,113.1,198705
1988,05,117.5,198805
1989,05,123.8,198905
1990,05,129.2,199005
1991,05,135.6,199105
1992,05,139.7,199205
1993,05,144.2,199305
1994,05,147.5,199405
1995,05,152.2,199505
1996,05,156.6,199605
1997,05,160.1,199705
1998,05,162.8,199805
1999,05,166.2,199905
2000,05,171.5,200005
2001,05,177.7,200105
2002,05,179.8,200205
2003,05,183.5,200305
2004,05,189.1,200405
2005,05,194.4,200505
2006,05,202.5,200605
2007,05,207.949,200705
2008,05,216.632,200805
2009,05,213.856,200905
2010,05,218.178,201005
2011,05,225.964,201105
2012,05,229.815,201205
2013,05,232.945,201305
2014,05,237.9,201405
2015,05,237.805,201505
2016,05,240.229,201605
2017,05,244.733,201705
2018,05,251.588,201805
2019,05,256.092,201905
2020,05,256.394,202005
2021,05,269.195,202105
2022,05,292.296,202205
2023,05,304.127,202305
1913,06,9.8,191306
1914,06,9.9,191406
1915,06,10.1,191506
1916,06,10.8,191606
1917,06,13.0,191706
1918,06,14.7,191806
1919,06,16.9,191906
1920,06,20.9,192006
1921,06,17.6,192106
1922,06,16.7,192206
1923,06,17.0,192306
1924,06,17.0,192406
1925,06,17.5,192506
1926,06,17.7,192606
1927,06,17.6,192706
1928,06,17.1,192806
1929,06,17.1,192906
1930,06,16.8,193006
1931,06,15.1,193106
1932,06,13.6,193206
1933,06,12.7,193306
1934,06,13.4,193406
1935,06,13.7,193506
1936,06,13.8,193606
1937,06,14.4,193706
1938,06,14.1,193806
1939,06,13.8,193906
1940,06,14.1,194006
1941,06,14.7,194106
1942,06,16.3,194206
1943,06,17.5,194306
1944,06,17.6,194406
1945,06,18.1,194506
1946,06,18.7,194606
1947,06,22.0,194706
1948,06,24.1,194806
1949,06,23.9,194906
1950,06,23.8,195006
1951,06,25.9,195106
1952,06,26.5,195206
1953,06,26.8,195306
1954,06,26.9,195406
1955,06,26.7,195506
1956,06,27.2,195606
1957,06,28.1,195706
1958,06,28.9,195806
1959,06,29.1,195906
1960,06,29.6,196006
1961,06,29.8,196106
1962,06,30.2,196206
1963,06,30.6,196306
1964,06,31.0,196406
1965,06,31.6,196506
1966,06,32.4,196606
1967,06,33.3,196706
1968,06,34.7,196806
1969,06,36.6,196906
1970,06,38.8,197006
1971,06,40.6,197106
1972,06,41.7,197206
1973,06,44.2,197306
1974,06,49.0,197406
1975,06,53.6,197506
1976,06,56.8,197606
1977,06,60.7,197706
1978,06,65.2,197806
1979,06,72.3,197906
1980,06,82.7,198006
1981,06,90.6,198106
1982,06,97.0,198206
1983,06,99.5,198306
1984,06,103.7,198406
1985,06,107.6,198506
1986,06,109.5,198606
1987,06,113.5,198706
1988,06,118.0,198806
1989,06,124.1,198906
1990,06,129.9,199006
1991,06,136.0,199106
1992,06,140.2,199206
1993,06,144.4,199306
1994,06,148.0,199406
1995,06,152.5,199506
1996,06,156.7,199606
1997,06,160.3,199706
1998,06,163.0,199806
1999,06,166.2,199906
2000,06,172.4,200006
2001,06,178.0,200106
2002,06,179.9,200206
2003,06,183.7,200306
2004,06,189.7,200406
2005,06,194.5,200506
2006,06,202.9,200606
2007,06,208.352,200706
2008,06,218.815,200806
2009,06,215.693,200906
2010,06,217.965,201006
2011,06,225.722,201106
2012,06,229.478,201206
2013,06,233.504,201306
2014,06,238.343,201406
2015,06,238.638,201506
2016,06,241.018,201606
2017,06,244.955,201706
2018,06,251.989,201806
2019,06,256.143,201906
2020,06,257.797,202006
2021,06,271.696,202106
2022,06,296.311,202206
2023,06,,202306
1913,07,9.9,191307
1914,07,10.0,191407
1915,07,10.1,191507
1916,07,10.8,191607
1917,07,12.8,191707
1918,07,15.1,191807
1919,07,17.4,191907
1920,07,20.8,192007
1921,07,17.7,192107
1922,07,16.8,192207
1923,07,17.2,192307
1924,07,17.1,192407
1925,07,17.7,192507
1926,07,17.5,192607
1927,07,17.3,192707
1928,07,17.1,192807
1929,07,17.3,192907
1930,07,16.6,193007
1931,07,15.1,193107
1932,07,13.6,193207
1933,07,13.1,193307
1934,07,13.4,193407
1935,07,13.7,193507
1936,07,13.9,193607
1937,07,14.5,193707
1938,07,14.1,193807
1939,07,13.8,193907
1940,07,14.0,194007
1941,07,14.7,194107
1942,07,16.4,194207
1943,07,17.4,194307
1944,07,17.7,194407
1945,07,18.1,194507
1946,07,19.8,194607
1947,07,22.2,194707
1948,07,24.4,194807
1949,07,23.7,194907
1950,07,24.1,195007
1951,07,25.9,195107
1952,07,26.7,195207
1953,07,26.8,195307
1954,07,26.9,195407
1955,07,26.8,195507
1956,07,27.4,195607
1957,07,28.3,195707
1958,07,29.0,195807
1959,07,29.2,195907
1960,07,29.6,196007
1961,07,30.0,196107
1962,07,30.3,196207
1963,07,30.7,196307
1964,07,31.1,196407
1965,07,31.6,196507
1966,07,32.5,196607
1967,07,33.4,196707
1968,07,34.9,196807
1969,07,36.8,196907
1970,07,39.0,197007
1971,07,40.7,197107
1972,07,41.9,197207
1973,07,44.3,197307
1974,07,49.4,197407
1975,07,54.2,197507
1976,07,57.1,197607
1977,07,61.0,197707
1978,07,65.7,197807
1979,07,73.1,197907
1980,07,82.7,198007
1981,07,91.6,198107
1982,07,97.5,198207
1983,07,99.9,198307
1984,07,104.1,198407
1985,07,107.8,198507
1986,07,109.5,198607
1987,07,113.8,198707
1988,07,118.5,198807
1989,07,124.4,198907
1990,07,130.4,199007
1991,07,136.2,199107
1992,07,140.5,199207
1993,07,144.4,199307
1994,07,148.4,199407
1995,07,152.5,199507
1996,07,157.0,199607
1997,07,160.5,199707
1998,07,163.2,199807
1999,07,166.7,199907
2000,07,172.8,200007
2001,07,177.5,200107
2002,07,180.1,200207
2003,07,183.9,200307
2004,07,189.4,200407
2005,07,195.4,200507
2006,07,203.5,200607
2007,07,208.299,200707
2008,07,219.964,200807
2009,07,215.351,200907
2010,07,218.011,201007
2011,07,225.922,201107
2012,07,229.104,201207
2013,07,233.596,201307
2014,07,238.25,201407
2015,07,238.654,201507
2016,07,240.628,201607
2017,07,244.786,201707
2018,07,252.006,201807
2019,07,256.571,201907
2020,07,259.101,202007
2021,07,273.003,202107
2022,07,296.276,202207
2023,07,,202307
1913,08,9.9,191308
1914,08,10.2,191408
1915,08,10.1,191508
1916,08,10.9,191608
1917,08,13.0,191708
1918,08,15.4,191808
1919,08,17.7,191908
1920,08,20.3,192008
1921,08,17.7,192108
1922,08,16.6,192208
1923,08,17.1,192308
1924,08,17.0,192408
1925,08,17.7,192508
1926,08,17.4,192608
1927,08,17.2,192708
1928,08,17.1,192808
1929,08,17.3,192908
1930,08,16.5,193008
1931,08,15.1,193108
1932,08,13.5,193208
1933,08,13.2,193308
1934,08,13.4,193408
1935,08,13.7,193508
1936,08,14.0,193608
1937,08,14.5,193708
1938,08,14.1,193808
1939,08,13.8,193908
1940,08,14.0,194008
1941,08,14.9,194108
1942,08,16.5,194208
1943,08,17.3,194308
1944,08,17.7,194408
1945,08,18.1,194508
1946,08,20.2,194608
1947,08,22.5,194708
1948,08,24.5,194808
1949,08,23.8,194908
1950,08,24.3,195008
1951,08,25.9,195108
1952,08,26.7,195208
1953,08,26.9,195308
1954,08,26.9,195408
1955,08,26.8,195508
1956,08,27.3,195608
1957,08,28.3,195708
1958,08,28.9,195808
1959,08,29.2,195908
1960,08,29.6,196008
1961,08,29.9,196108
1962,08,30.3,196208
1963,08,30.7,196308
1964,08,31.0,196408
1965,08,31.6,196508
1966,08,32.7,196608
1967,08,33.5,196708
1968,08,35.0,196808
1969,08,37.0,196908
1970,08,39.0,197008
1971,08,40.8,197108
1972,08,42.0,197208
1973,08,45.1,197308
1974,08,50.0,197408
1975,08,54.3,197508
1976,08,57.4,197608
1977,08,61.2,197708
1978,08,66.0,197808
1979,08,73.8,197908
1980,08,83.3,198008
1981,08,92.3,198108
1982,08,97.7,198208
1983,08,100.2,198308
1984,08,104.5,198408
1985,08,108.0,198508
1986,08,109.7,198608
1987,08,114.4,198708
1988,08,119.0,198808
1989,08,124.6,198908
1990,08,131.6,199008
1991,08,136.6,199108
1992,08,140.9,199208
1993,08,144.8,199308
1994,08,149.0,199408
1995,08,152.9,199508
1996,08,157.3,199608
1997,08,160.8,199708
1998,08,163.4,199808
1999,08,167.1,199908
2000,08,172.8,200008
2001,08,177.5,200108
2002,08,180.7,200208
2003,08,184.6,200308
2004,08,189.5,200408
2005,08,196.4,200508
2006,08,203.9,200608
2007,08,207.917,200708
2008,08,219.086,200808
2009,08,215.834,200908
2010,08,218.312,201008
2011,08,226.545,201108
2012,08,230.379,201208
2013,08,233.877,201308
2014,08,237.852,201408
2015,08,238.316,201508
2016,08,240.849,201608
2017,08,245.519,201708
2018,08,252.146,201808
2019,08,256.558,201908
2020,08,259.918,202008
2021,08,273.567,202108
2022,08,296.171,202208
2023,08,,202308
1913,09,10.0,191309
1914,09,10.2,191409
1915,09,10.1,191509
1916,09,11.1,191609
1917,09,13.3,191709
1918,09,15.7,191809
1919,09,17.8,191909
1920,09,20.0,192009
1921,09,17.5,192109
1922,09,16.6,192209
1923,09,17.2,192309
1924,09,17.1,192409
1925,09,17.7,192509
1926,09,17.5,192609
1927,09,17.3,192709
1928,09,17.3,192809
1929,09,17.3,192909
1930,09,16.6,193009
1931,09,15.0,193109
1932,09,13.4,193209
1933,09,13.2,193309
1934,09,13.6,193409
1935,09,13.7,193509
1936,09,14.0,193609
1937,09,14.6,193709
1938,09,14.1,193809
1939,09,14.1,193909
1940,09,14.0,194009
1941,09,15.1,194109
1942,09,16.5,194209
1943,09,17.4,194309
1944,09,17.7,194409
1945,09,18.1,194509
1946,09,20.4,194609
1947,09,23.0,194709
1948,09,24.5,194809
1949,09,23.9,194909
1950,09,24.4,195009
1951,09,26.1,195109
1952,09,26.7,195209
1953,09,26.9,195309
1954,09,26.8,195409
1955,09,26.9,195509
1956,09,27.4,195609
1957,09,28.3,195709
1958,09,28.9,195809
1959,09,29.3,195909
1960,09,29.6,196009
1961,09,30.0,196109
1962,09,30.4,196209
1963,09,30.7,196309
1964,09,31.1,196409
1965,09,31.6,196509
1966,09,32.7,196609
1967,09,33.6,196709
1968,09,35.1,196809
1969,09,37.1,196909
1970,09,39.2,197009
1971,09,40.8,197109
1972,09,42.1,197209
1973,09,45.2,197309
1974,09,50.6,197409
1975,09,54.6,197509
1976,09,57.6,197609
1977,09,61.4,197709
1978,09,66.5,197809
1979,09,74.6,197909
1980,09,84.0,198009
1981,09,93.2,198109
1982,09,97.9,198209
1983,09,100.7,198309
1984,09,105.0,198409
1985,09,108.3,198509
1986,09,110.2,198609
1987,09,115.0,198709
1988,09,119.8,198809
1989,09,125.0,198909
1990,09,132.7,199009
1991,09,137.2,199109
1992,09,141.3,199209
1993,09,145.1,199309
1994,09,149.4,199409
1995,09,153.2,199509
1996,09,157.8,199609
1997,09,161.2,199709
1998,09,163.6,199809
1999,09,167.9,199909
2000,09,173.7,200009
2001,09,178.3,200109
2002,09,181.0,200209
2003,09,185.2,200309
2004,09,189.9,200409
2005,09,198.8,200509
2006,09,202.9,200609
2007,09,208.49,200709
2008,09,218.783,200809
2009,09,215.969,200909
2010,09,218.439,201009
2011,09,226.889,201109
2012,09,231.407,201209
2013,09,234.149,201309
2014,09,238.031,201409
2015,09,237.945,201509
2016,09,241.428,201609
2017,09,246.819,201709
2018,09,252.439,201809
2019,09,256.759,201909
2020,09,260.28,202009
2021,09,274.31,202109
2022,09,296.808,202209
2023,09,,202309
1913,10,10.0,191310
1914,10,10.1,191410
1915,10,10.2,191510
1916,10,11.3,191610
1917,10,13.5,191710
1918,10,16.0,191810
1919,10,18.1,191910
1920,10,19.9,192010
1921,10,17.5,192110
1922,10,16.7,192210
1923,10,17.3,192310
1924,10,17.2,192410
1925,10,17.7,192510
1926,10,17.6,192610
1927,10,17.4,192710
1928,10,17.2,192810
1929,10,17.3,192910
1930,10,16.5,193010
1931,10,14.9,193110
1932,10,13.3,193210
1933,10,13.2,193310
1934,10,13.5,193410
1935,10,13.7,193510
1936,10,14.0,193610
1937,10,14.6,193710
1938,10,14.0,193810
1939,10,14.0,193910
1940,10,14.0,194010
1941,10,15.3,194110
1942,10,16.7,194210
1943,10,17.4,194310
1944,10,17.7,194410
1945,10,18.1,194510
1946,10,20.8,194610
1947,10,23.0,194710
1948,10,24.4,194810
1949,10,23.7,194910
1950,10,24.6,195010
1951,10,26.2,195110
1952,10,26.7,195210
1953,10,27.0,195310
1954,10,26.8,195410
1955,10,26.9,195510
1956,10,27.5,195610
1957,10,28.3,195710
1958,10,28.9,195810
1959,10,29.4,195910
1960,10,29.8,196010
1961,10,30.0,196110
1962,10,30.4,196210
1963,10,30.8,196310
1964,10,31.1,196410
1965,10,31.7,196510
1966,10,32.9,196610
1967,10,33.7,196710
1968,10,35.3,196810
1969,10,37.3,196910
1970,10,39.4,197010
1971,10,40.9,197110
1972,10,42.3,197210
1973,10,45.6,197310
1974,10,51.1,197410
1975,10,54.9,197510
1976,10,57.9,197610
1977,10,61.6,197710
1978,10,67.1,197810
1979,10,75.2,197910
1980,10,84.8,198010
1981,10,93.4,198110
1982,10,98.2,198210
1983,10,101.0,198310
1984,10,105.3,198410
1985,10,108.7,198510
1986,10,110.3,198610
1987,10,115.3,198710
1988,10,120.2,198810
1989,10,125.6,198910
1990,10,133.5,199010
1991,10,137.4,199110
1992,10,141.8,199210
1993,10,145.7,199310
1994,10,149.5,199410
1995,10,153.7,199510
1996,10,158.3,199610
1997,10,161.6,199710
1998,10,164.0,199810
1999,10,168.2,199910
2000,10,174.0,200010
2001,10,177.7,200110
2002,10,181.3,200210
2003,10,185.0,200310
2004,10,190.9,200410
2005,10,199.2,200510
2006,10,201.8,200610
2007,10,208.936,200710
2008,10,216.573,200810
2009,10,216.177,200910
2010,10,218.711,201010
2011,10,226.421,201110
2012,10,231.317,201210
2013,10,233.546,201310
2014,10,237.433,201410
2015,10,237.838,201510
2016,10,241.729,201610
2017,10,246.663,201710
2018,10,252.885,201810
2019,10,257.346,201910
2020,10,260.388,202010
2021,10,276.589,202110
2022,10,298.012,202210
2023,10,,202310
1913,11,10.1,191311
1914,11,10.2,191411
1915,11,10.3,191511
1916,11,11.5,191611
1917,11,13.5,191711
1918,11,16.3,191811
1919,11,18.5,191911
1920,11,19.8,192011
1921,11,17.4,192111
1922,11,16.8,192211
1923,11,17.3,192311
1924,11,17.2,192411
1925,11,18.0,192511
1926,11,17.7,192611
1927,11,17.3,192711
1928,11,17.2,192811
1929,11,17.3,192911
1930,11,16.4,193011
1931,11,14.7,193111
1932,11,13.2,193211
1933,11,13.2,193311
1934,11,13.5,193411
1935,11,13.8,193511
1936,11,14.0,193611
1937,11,14.5,193711
1938,11,14.0,193811
1939,11,14.0,193911
1940,11,14.0,194011
1941,11,15.4,194111
1942,11,16.8,194211
1943,11,17.4,194311
1944,11,17.7,194411
1945,11,18.1,194511
1946,11,21.3,194611
1947,11,23.1,194711
1948,11,24.2,194811
1949,11,23.8,194911
1950,11,24.7,195011
1951,11,26.4,195111
1952,11,26.7,195211
1953,11,26.9,195311
1954,11,26.8,195411
1955,11,26.9,195511
1956,11,27.5,195611
1957,11,28.4,195711
1958,11,29.0,195811
1959,11,29.4,195911
1960,11,29.8,196011
1961,11,30.0,196111
1962,11,30.4,196211
1963,11,30.8,196311
1964,11,31.2,196411
1965,11,31.7,196511
1966,11,32.9,196611
