start_end_date,const_std_error,const_peak_minima,const_peak_maxima,x1_std_error,x1_peak_minima,x1_peak_maxima,x2_std_error,x2_peak_minima,x2_peak_maxima
199504-201503,0.13,0.31,0.8,0.03,-0.03,0.08,0.04,0.75,0.91
199505-201504,0.13,0.31,0.8,0.03,-0.03,0.08,0.04,0.75,0.91
199506-201505,0.13,0.3,0.8,0.03,-0.04,0.07,0.04,0.75,0.91
199507-201506,0.13,0.3,0.8,0.03,-0.04,0.07,0.04,0.75,0.91
199508-201507,0.13,0.3,0.8,0.03,-0.04,0.07,0.04,0.75,0.91
199509-201508,0.13,0.3,0.8,0.03,-0.03,0.07,0.04,0.75,0.91
199510-201509,0.13,0.3,0.8,0.03,-0.03,0.07,0.04,0.75,0.91
199511-201510,0.13,0.3,0.8,0.03,-0.03,0.07,0.04,0.75,0.91
199512-201511,0.13,0.3,0.8,0.03,-0.03,0.07,0.04,0.75,0.91
199601-201512,0.13,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199602-201601,0.13,0.29,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199603-201602,0.13,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199604-201603,0.12,0.3,0.79,0.03,-0.03,0.07,0.04,0.75,0.91
199605-201604,0.12,0.31,0.8,0.03,-0.03,0.07,0.04,0.75,0.91
199606-201605,0.12,0.29,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199607-201606,0.12,0.29,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199608-201607,0.12,0.29,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199609-201608,0.12,0.29,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199610-201609,0.12,0.29,0.78,0.03,-0.03,0.07,0.04,0.75,0.91
199611-201610,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.75,0.91
199612-201611,0.12,0.28,0.77,0.03,-0.03,0.07,0.04,0.75,0.91
199701-201612,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.75,0.91
199702-201701,0.12,0.29,0.77,0.03,-0.03,0.07,0.04,0.75,0.91
