start_end_date,const_coef,x1_coef,x2_coef,R2,adj_R2,RMSE
200105-202104,0.49,0.01,0.85,0.73,0.72,0.42
200106-202105,0.46,0.02,0.86,0.73,0.73,0.42
200107-202106,0.46,0.02,0.86,0.75,0.75,0.42
200108-202107,0.43,0.02,0.86,0.76,0.75,0.42
200109-202108,0.43,0.02,0.87,0.76,0.76,0.42
200110-202109,0.44,0.03,0.86,0.78,0.78,0.41
200111-202110,0.46,0.04,0.85,0.79,0.79,0.4
200112-202111,0.43,0.04,0.86,0.8,0.79,0.4
200201-202112,0.43,0.04,0.86,0.8,0.8,0.4
200202-202201,0.42,0.04,0.86,0.8,0.8,0.4
200203-202202,0.37,0.05,0.87,0.81,0.81,0.41
200204-202203,0.35,0.06,0.87,0.82,0.82,0.41
200205-202204,0.38,0.06,0.87,0.83,0.83,0.41
200206-202205,0.34,0.06,0.87,0.84,0.84,0.42
200207-202206,0.34,0.06,0.87,0.85,0.85,0.42
200208-202207,0.45,0.06,0.84,0.84,0.84,0.44
200209-202208,0.44,0.06,0.85,0.84,0.84,0.44
200210-202209,0.45,0.07,0.84,0.84,0.84,0.44
200211-202210,0.46,0.07,0.84,0.85,0.85,0.44
200212-202211,0.47,0.07,0.83,0.85,0.85,0.44
200301-202212,0.5,0.07,0.82,0.85,0.85,0.44
200302-202301,0.48,0.07,0.83,0.85,0.85,0.44
200303-202302,0.47,0.07,0.83,0.85,0.85,0.44
200304-202303,0.48,0.07,0.83,0.86,0.86,0.44
200305-202304,0.49,0.07,0.83,0.86,0.86,0.44
